category,block,english,spanish,pronunciation,difficulty,notes
food-drinks,2,I love this restaurant,Me encanta este restaurante,meh en-KAN-ta ES-teh res-tau-RAN-teh,beginner,
food-drinks,2,Another round,Otra ronda,O-tra RON-da,beginner,
food-drinks,2,The food here is incredible,La comida aquí es increíble,la ko-MEE-da a-KEE es een-kreh-EE-bleh,beginner,
food-drinks,2,Do you cook,Cocinas,ko-SEE-nas,beginner,
food-drinks,2,This drink is strong,Esta bebida está fuerte,ES-ta beh-BEE-da es-TA FWER-teh,beginner,
food-drinks,2,I am getting hungry,Me está dando hambre,meh es-TA DAN-do AM-breh,beginner,
food-drinks,2,What is your go-to order,Qué sueles pedir,keh SWEH-les peh-DEER,beginner,
food-drinks,2,This is my treat,Esto es mi invitación,ES-to es mee een-vee-ta-SYON,beginner,
food-drinks,3,Have you been here before,Has venido aquí antes,as veh-NEE-do a-KEE AN-tes,beginner,
food-drinks,3,I love the atmosphere here,Me encanta el ambiente aquí,meh en-KAN-ta el am-BYEN-teh a-KEE,beginner,
food-drinks,3,What is your drink of choice,Cuál es tu bebida favorita,kwal es too beh-BEE-da fa-vo-REE-ta,beginner,
food-drinks,3,This is so good,Esto está tan bueno,ES-to es-TA tan BWEH-no,beginner,
food-drinks,3,Do you like wine,Te gusta el vino,teh GOOS-ta el VEE-no,beginner,
food-drinks,3,What are you in the mood for,De qué tienes ganas,deh keh TYEH-nes GA-nas,beginner,
food-drinks,3,This is perfectly cooked,Esto está perfectamente cocinado,ES-to es-TA per-fek-ta-MEN-teh ko-see-NA-do,intermediate,
food-drinks,3,Should we order appetizers,Pedimos entradas,peh-DEE-mos en-TRA-das,beginner,
food-drinks,3,I am stuffed,Estoy lleno,es-TOY YEH-no,beginner,Use llena if female
food-drinks,3,Do you like seafood,Te gustan los mariscos,teh GOOS-tan los ma-REES-kos,beginner,
food-drinks,4,What is your favorite restaurant,Cuál es tu restaurante favorito,kwal es too res-tau-RAN-teh fa-vo-REE-to,beginner,
food-drinks,4,I could eat this every day,Podría comer esto todos los días,po-DREE-a ko-MER ES-to TO-dos los DEE-as,beginner,
food-drinks,4,Do you prefer beer or cocktails,Prefieres cerveza o cocteles,preh-FYEH-res ser-VEH-sa o kok-TEH-les,beginner,
food-drinks,4,This is worth every penny,Esto vale cada centavo,ES-to VA-leh KA-da sen-TA-vo,intermediate,
food-drinks,4,Should we get another bottle,Pedimos otra botella,peh-DEE-mos O-tra bo-TEH-ya,beginner,
food-drinks,4,I love trying new foods,Me encanta probar comidas nuevas,meh en-KAN-ta pro-BAR ko-MEE-das NWEH-vas,beginner,
food-drinks,4,This pairs well with wine,Esto combina bien con vino,ES-to kom-BEE-na byen kon VEE-no,intermediate,
food-drinks,4,This is authentic,Esto es auténtico,ES-to es au-TEN-tee-ko,beginner,
food-drinks,4,This is the best I have had,Este es el mejor que he probado,ES-teh es el meh-HOR keh eh pro-BA-do,beginner,
food-drinks,4,I am addicted to this,Soy adicto a esto,soy a-DEEK-to a ES-to,beginner,Use adicta if female
food-drinks,5,Do you have a sweet tooth,Te gustan los dulces,teh GOOS-tan los DOOL-ses,beginner,
food-drinks,5,This reminds me of home,Esto me recuerda a casa,ES-to meh reh-KWER-da a KA-sa,beginner,
food-drinks,5,This is so fresh,Esto está muy fresco,ES-to es-TA mwee FRES-ko,beginner,
food-drinks,5,Do you like it rare or well done,Te gusta poco cocido o bien cocido,teh GOOS-ta PO-ko ko-SEE-do o byen ko-SEE-do,intermediate,
food-drinks,5,This is a perfect combination,Esta es una combinación perfecta,ES-ta es OO-na kom-bee-na-SYON per-FEK-ta,intermediate,
food-drinks,5,I love street food,Me encanta la comida callejera,meh en-KAN-ta la ko-MEE-da ka-yeh-HEH-ra,beginner,
food-drinks,5,This is worth the calories,Esto vale las calorías,ES-to VA-leh las ka-lo-REE-as,beginner,
food-drinks,5,Do you like brunch,Te gusta el brunch,teh GOOS-ta el brunch,beginner,
food-drinks,5,This has so much flavor,Esto tiene mucho sabor,ES-to TYEH-neh MOO-cho sa-BOR,beginner,
food-drinks,5,We should come back here,Deberíamos volver aquí,deh-beh-REE-a-mos vol-VER a-KEE,beginner,
meeting-family,1,Nice to meet you,Encantado de conocerle,en-kan-TA-do deh ko-no-SER-leh,beginner,Use Encantada if female; formal
meeting-family,1,You have a beautiful family,Tiene una familia hermosa,TYEH-neh OO-na fa-MEE-lya er-MO-sa,beginner,Formal
meeting-family,1,Thank you for having me,Gracias por recibirme,GRA-syas por reh-see-BEER-meh,beginner,
meeting-family,1,Your home is lovely,Su casa es hermosa,soo KA-sa es er-MO-sa,beginner,Formal
meeting-family,1,This food is delicious,Esta comida está deliciosa,ES-ta ko-MEE-da es-TA deh-lee-SYO-sa,beginner,
meeting-family,1,Thank you for the invitation,Gracias por la invitación,GRA-syas por la een-vee-ta-SYON,beginner,
meeting-family,1,I am honored to be here,Es un honor estar aquí,es oon o-NOR es-TAR a-KEE,intermediate,
meeting-family,1,She is wonderful,Ella es maravillosa,EH-ya es ma-ra-vee-YO-sa,beginner,Use Él for men
meeting-family,1,I have heard so much about you,He oído hablar mucho de usted,eh o-EE-do a-BLAR MOO-cho deh oos-TED,intermediate,Formal
meeting-family,1,It is a pleasure to meet you,Es un placer conocerle,es oon pla-SER ko-no-SER-leh,beginner,Formal
meeting-family,2,You raised her well,La criaron muy bien,la kree-A-ron mwee byen,intermediate,Formal
meeting-family,2,I respect your family,Respeto a su familia,res-PEH-to a soo fa-MEE-lya,beginner,Formal
meeting-family,2,This is very kind of you,Esto es muy amable de su parte,ES-to es mwee a-MA-bleh deh soo PAR-teh,intermediate,Formal
meeting-family,2,I appreciate your hospitality,Aprecio su hospitalidad,a-PREH-syo soo os-pee-ta-lee-DAD,intermediate,Formal
meeting-family,2,Your family is very welcoming,Su familia es muy acogedora,soo fa-MEE-lya es mwee a-ko-heh-DO-ra,intermediate,Formal
meeting-family,2,Thank you for your kindness,Gracias por su amabilidad,GRA-syas por soo a-ma-bee-lee-DAD,beginner,Formal
meeting-family,2,I feel very welcome,Me siento muy bienvenido,meh SYEN-to mwee byen-veh-NEE-do,beginner,Use bienvenida if female
meeting-family,2,This means a lot to me,Esto significa mucho para mí,ES-to seeg-nee-FEE-ka MOO-cho PA-ra mee,intermediate,
meeting-family,2,I am grateful to be here,Estoy agradecido de estar aquí,es-TOY a-gra-deh-SEE-do deh es-TAR a-KEE,intermediate,Use agradecida if female
meeting-family,2,You have a beautiful home,Tienen una casa hermosa,TYEH-nen OO-na KA-sa er-MO-sa,beginner,Formal
meeting-family,3,I love your family traditions,Me encantan sus tradiciones familiares,meh en-KAN-tan soos tra-dee-SYO-nes fa-mee-LYA-res,intermediate,Formal
meeting-family,3,This is wonderful,Esto es maravilloso,ES-to es ma-ra-vee-YO-so,beginner,
meeting-family,3,I am very happy to be here,Estoy muy feliz de estar aquí,es-TOY mwee feh-LEES deh es-TAR a-KEE,beginner,
meeting-family,3,Your cooking is amazing,Su cocina es increíble,soo ko-SEE-na es een-kreh-EE-bleh,beginner,Formal
meeting-family,3,I feel like part of the family,Me siento como parte de la familia,meh SYEN-to KO-mo PAR-teh deh la fa-MEE-lya,intermediate,
meeting-family,3,This is a beautiful gathering,Esta es una reunión hermosa,ES-ta es OO-na reh-oo-NYON er-MO-sa,intermediate,
meeting-family,3,I appreciate you welcoming me,Aprecio que me hayan recibido,a-PREH-syo keh meh A-yan reh-see-BEE-do,intermediate,Formal
meeting-family,3,Your family is very warm,Su familia es muy cálida,soo fa-MEE-lya es mwee KA-lee-da,intermediate,Formal
meeting-family,3,I am enjoying myself very much,Lo estoy disfrutando mucho,lo es-TOY dees-froo-TAN-do MOO-cho,beginner,
meeting-family,3,This is a special moment,Este es un momento especial,ES-teh es oon mo-MEN-to es-peh-SYAL,beginner,
meeting-family,4,I value family too,Yo también valoro la familia,yo tam-BYEN va-LO-ro la fa-MEE-lya,beginner,
meeting-family,4,You have made me feel at home,Me han hecho sentir como en casa,meh an EH-cho sen-TEER KO-mo en KA-sa,intermediate,Formal
meeting-family,4,This is a lovely tradition,Esta es una tradición hermosa,ES-ta es OO-na tra-dee-SYON er-MO-sa,intermediate,
meeting-family,4,I am learning so much,Estoy aprendiendo mucho,es-TOY a-pren-DYEN-do MOO-cho,beginner,
meeting-family,4,Your family has great energy,Su familia tiene muy buena energía,soo fa-MEE-lya TYEH-neh mwee BWEH-na eh-ner-HEE-a,intermediate,Formal
meeting-family,4,I admire your family values,Admiro los valores de su familia,ad-MEE-ro los va-LO-res deh soo fa-MEE-lya,intermediate,Formal
meeting-family,4,This is unforgettable,Esto es inolvidable,ES-to es ee-nol-vee-DA-bleh,intermediate,
meeting-family,4,I am very touched,Estoy muy conmovido,es-TOY mwee kon-mo-VEE-do,intermediate,Use conmovida if female
meeting-family,4,Your family is beautiful,Su familia es hermosa,soo fa-MEE-lya es er-MO-sa,beginner,Formal
meeting-family,4,I respect your traditions,Respeto sus tradiciones,res-PEH-to soos tra-dee-SYO-nes,beginner,Formal
meeting-family,5,I am blessed to be here,Soy bendecido de estar aquí,soy ben-deh-SEE-do deh es-TAR a-KEE,intermediate,Use bendecida if female
meeting-family,5,Your home is so warm,Su casa es muy acogedora,soo KA-sa es mwee a-ko-heh-DO-ra,intermediate,Formal
meeting-family,5,I love the atmosphere,Me encanta el ambiente,meh en-KAN-ta el am-BYEN-teh,beginner,
meeting-family,5,This is very special,Esto es muy especial,ES-to es mwee es-peh-SYAL,beginner,
meeting-family,5,I feel very fortunate,Me siento muy afortunado,meh SYEN-to mwee a-for-too-NA-do,intermediate,Use afortunada if female
meeting-family,5,Your family is incredible,Su familia es increíble,soo fa-MEE-lya es een-kreh-EE-bleh,beginner,Formal
meeting-family,5,I hope to see you again soon,Espero verlos pronto otra vez,es-PEH-ro VER-los PRON-to O-tra vess,beginner,Formal
meeting-family,5,Thank you for everything,Gracias por todo,GRA-syas por TO-do,beginner,
meeting-family,5,I will remember this always,Recordaré esto siempre,reh-kor-da-REH ES-to SYEM-preh,beginner,
meeting-family,5,I am honored to know you all,Es un honor conocerlos a todos,es oon o-NOR ko-no-SER-los a TO-dos,intermediate,Formal
spicy,1,You are very sexy,Eres muy sexy,EH-res mwee SEK-see,beginner,
spicy,1,You drive me crazy,Me vuelves loco,meh VWEL-ves LO-ko,beginner,Use loca if female
spicy,1,I want to kiss you,Quiero besarte,KYEH-ro beh-SAR-teh,beginner,
spicy,1,You are so hot,Estás muy buena,es-TAS mwee BWEH-na,beginner,Use bueno for men
spicy,1,I cannot stop thinking about you,No puedo dejar de pensar en ti,no PWEH-do deh-HAR deh pen-SAR en tee,intermediate,
spicy,1,You turn me on,Me excitas,meh ek-SEE-tas,beginner,
spicy,1,I want you,Te deseo,teh deh-SEH-o,beginner,
spicy,1,You are so attractive,Eres muy atractiva,EH-res mwee a-trak-TEE-va,beginner,Use atractivo for men
spicy,1,I love your body,Me encanta tu cuerpo,meh en-KAN-ta too KWER-po,beginner,
spicy,1,You are irresistible,Eres irresistible,EH-res ee-reh-sees-TEE-bleh,intermediate,
spicy,2,I am attracted to you,Me atraes,meh a-TRA-es,beginner,
spicy,2,You are so seductive,Eres muy seductora,EH-res mwee seh-dook-TO-ra,intermediate,Use seductor for men
spicy,2,I want to touch you,Quiero tocarte,KYEH-ro to-KAR-teh,beginner,
spicy,2,You make me feel things,Me haces sentir cosas,meh A-ses sen-TEER KO-sas,beginner,
spicy,2,I am crazy about you,Estoy loco por ti,es-TOY LO-ko por tee,beginner,Use loca if female
spicy,2,I love how you move,Me encanta cómo te mueves,meh en-KAN-ta KO-mo teh MWEH-ves,beginner,
spicy,2,You are driving me wild,Me estás volviendo loco,meh es-TAS vol-VYEN-do LO-ko,beginner,Use loca if female
spicy,2,I want to be close to you,Quiero estar cerca de ti,KYEH-ro es-TAR SER-ka deh tee,beginner,
spicy,2,You are so tempting,Eres muy tentadora,EH-res mwee ten-ta-DO-ra,intermediate,Use tentador for men
spicy,2,I cannot resist you,No puedo resistirte,no PWEH-do reh-sees-TEER-teh,intermediate,
spicy,3,You are making me nervous,Me pones nervioso,meh PO-nes ner-VYO-so,beginner,Use nerviosa if female
spicy,3,I want to spend the night with you,Quiero pasar la noche contigo,KYEH-ro pa-SAR la NO-cheh kon-TEE-go,intermediate,
spicy,3,You look amazing in that,Te ves increíble con eso,teh ves een-kreh-EE-bleh kon EH-so,beginner,
spicy,3,I love your curves,Me encantan tus curvas,meh en-KAN-tan toos KOOR-vas,beginner,
spicy,3,You are so passionate,Eres muy apasionada,EH-res mwee a-pa-syo-NA-da,intermediate,Use apasionado for men
spicy,3,I want to make you feel good,Quiero hacerte sentir bien,KYEH-ro a-SER-teh sen-TEER byen,beginner,
spicy,3,I love your skin,Me encanta tu piel,meh en-KAN-ta too pyel,beginner,
spicy,3,You are so sensual,Eres muy sensual,EH-res mwee sen-SWAL,beginner,
spicy,3,You make my heart race,Haces que mi corazón se acelere,A-ses keh mee ko-ra-SON seh a-seh-LEH-reh,intermediate,
spicy,3,I am addicted to you,Soy adicto a ti,soy a-DEEK-to a tee,beginner,Use adicta if female
spicy,4,You are so desirable,Eres muy deseable,EH-res mwee deh-seh-A-bleh,intermediate,
spicy,4,I want you right now,Te quiero ahora mismo,teh KYEH-ro a-O-ra MEES-mo,beginner,
spicy,4,You are so naughty,Eres muy traviesa,EH-res mwee tra-VYEH-sa,beginner,Use travieso for men
spicy,4,I want to please you,Quiero complacerte,KYEH-ro kom-pla-SER-teh,intermediate,
spicy,4,You are so wild,Eres tan salvaje,EH-res tan sal-VA-heh,beginner,
spicy,4,I cannot get enough of you,No me canso de ti,no meh KAN-so deh tee,beginner,
spicy,4,I want to try everything with you,Quiero probar todo contigo,KYEH-ro pro-BAR TO-do kon-TEE-go,beginner,
spicy,4,You are so adventurous,Eres muy aventurera,EH-res mwee a-ven-too-REH-ra,intermediate,Use aventurero for men
spicy,4,I love your energy,Me encanta tu energía,meh en-KAN-ta too eh-ner-HEE-a,beginner,
spicy,4,I want to satisfy you,Quiero satisfacerte,KYEH-ro sa-tees-fa-SER-teh,intermediate,
spicy,5,You are so playful,Eres tan juguetona,EH-res tan hoo-geh-TO-na,beginner,Use juguetón for men
spicy,5,I love the way you look at me,Me encanta cómo me miras,meh en-KAN-ta KO-mo meh MEE-ras,beginner,
spicy,5,I want to wake up next to you,Quiero despertar a tu lado,KYEH-ro des-per-TAR a too LA-do,beginner,
spicy,5,You are so captivating,Eres tan cautivadora,EH-res tan kau-tee-va-DO-ra,intermediate,Use cautivador for men
spicy,5,I want to do this again,Quiero hacer esto otra vez,KYEH-ro a-SER ES-to O-tra vess,beginner,
spicy,5,I love our chemistry,Me encanta nuestra química,meh en-KAN-ta NWES-tra KEE-mee-ka,beginner,
spicy,5,You are so addictive,Eres tan adictiva,EH-res tan a-deek-TEE-va,intermediate,Use adictivo for men
spicy,5,I love how we fit together,Me encanta cómo encajamos,meh en-KAN-ta KO-mo en-ka-HA-mos,intermediate,
spicy,5,I want you to be mine,Quiero que seas mía,KYEH-ro keh SEH-as MEE-a,beginner,Use mío if male
spicy,5,I think we have something special,Creo que tenemos algo especial,KREH-o keh teh-NEH-mos AL-go es-peh-SYAL,intermediate,
adult-rated,1,Your boobs are amazing,Tus tetas son increíbles,toos TEH-tas son een-kreh-EE-bles,beginner,
adult-rated,1,You have a great ass,Tienes un culo increíble,TYEH-nes oon KOO-lo een-kreh-EE-bleh,beginner,
adult-rated,1,I love your breasts,Me encantan tus pechos,meh en-KAN-tan toos PEH-chos,beginner,
adult-rated,1,You look sexy naked,Te ves sexy desnuda,teh ves SEK-see des-NOO-da,beginner,Use desnudo for men
adult-rated,1,I want to see you naked,Quiero verte desnuda,KYEH-ro VER-teh des-NOO-da,beginner,Use desnudo for men
adult-rated,1,Your body is perfect,Tu cuerpo es perfecto,too KWER-po es per-FEK-to,beginner,
adult-rated,1,I love your legs,Me encantan tus piernas,meh en-KAN-tan toos PYER-nas,beginner,
adult-rated,1,You have beautiful thighs,Tienes unos muslos hermosos,TYEH-nes OO-nos MOOS-los er-MO-sos,beginner,
