verb,english,tense,yo,tu,el_ella,nosotros,vosotros,ellos_ellas
hablar,to speak,present,hablo,hablas,habla,hablamos,habláis,hablan
hablar,to speak,preterite,hablé,hablaste,habló,hablamos,hablasteis,hablaron
hablar,to speak,imperfect,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban
hablar,to speak,future,hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán
hablar,to speak,conditional,hablaría,hablarías,hablaría,hablaríamos,hablaríais,hablarían
hablar,to speak,subjunctive,hable,hables,hable,hablemos,habléis,hablen
llevar,to carry/wear,present,llevo,llevas,lleva,llevamos,lleváis,llevan
llevar,to carry/wear,preterite,llevé,llevaste,llevó,llevamos,llevasteis,llevaron
llevar,to carry/wear,imperfect,llevaba,llevabas,llevaba,llevábamos,llevabais,llevaban
llevar,to carry/wear,future,llevaré,llevarás,llevará,llevaremos,llevaréis,llevarán
llevar,to carry/wear,conditional,llevaría,llevarías,llevaría,llevaríamos,llevaríais,llevarían
llevar,to carry/wear,subjunctive,lleve,lleves,lleve,llevemos,llevéis,lleven
dejar,to leave/let,present,dejo,dejas,deja,dejamos,dejáis,dejan
dejar,to leave/let,preterite,dejé,dejaste,dejó,dejamos,dejasteis,dejaron
dejar,to leave/let,imperfect,dejaba,dejabas,dejaba,dejábamos,dejabais,dejaban
dejar,to leave/let,future,dejaré,dejarás,dejará,dejaremos,dejaréis,dejarán
dejar,to leave/let,conditional,dejaría,dejarías,dejaría,dejaríamos,dejaríais,dejarían
dejar,to leave/let,subjunctive,deje,dejes,deje,dejemos,dejéis,dejen
seguir,to follow,present,sigo,sigues,sigue,seguimos,seguís,siguen
seguir,to follow,preterite,seguí,seguiste,siguió,seguimos,seguisteis,siguieron
seguir,to follow,imperfect,seguía,seguías,seguía,seguíamos,seguíais,seguían
seguir,to follow,future,seguiré,seguirás,seguirá,seguiremos,seguiréis,seguirán
seguir,to follow,conditional,seguiría,seguirías,seguiría,seguiríamos,seguiríais,seguirían
seguir,to follow,subjunctive,siga,sigas,siga,sigamos,sigáis,sigan
encontrar,to find,present,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran
encontrar,to find,preterite,encontré,encontraste,encontró,encontramos,encontrasteis,encontraron
encontrar,to find,imperfect,encontraba,encontrabas,encontraba,encontrábamos,encontrabais,encontraban
encontrar,to find,future,encontraré,encontrarás,encontrará,encontraremos,encontraréis,encontrarán
encontrar,to find,conditional,encontraría,encontrarías,encontraría,encontraríamos,encontraríais,encontrarían
encontrar,to find,subjunctive,encuentre,encuentres,encuentre,encontremos,encontréis,encuentren
llamar,to call,present,llamo,llamas,llama,llamamos,llamáis,llaman
llamar,to call,preterite,llamé,llamaste,llamó,llamamos,llamasteis,llamaron
llamar,to call,imperfect,llamaba,llamabas,llamaba,llamábamos,llamabais,llamaban
llamar,to call,future,llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán
llamar,to call,conditional,llamaría,llamarías,llamaría,llamaríamos,llamaríais,llamarían
llamar,to call,subjunctive,llame,llames,llame,llamemos,llaméis,llamen
venir,to come,present,vengo,vienes,viene,venimos,venís,vienen
venir,to come,preterite,vine,viniste,vino,vinimos,vinisteis,vinieron
venir,to come,imperfect,venía,venías,venía,veníamos,veníais,venían
venir,to come,future,vendré,vendrás,vendrá,vendremos,vendréis,vendrán
venir,to come,conditional,vendría,vendrías,vendría,vendríamos,vendríais,vendrían
venir,to come,subjunctive,venga,vengas,venga,vengamos,vengáis,vengan
pensar,to think,present,pienso,piensas,piensa,pensamos,pensáis,piensan
pensar,to think,preterite,pensé,pensaste,pensó,pensamos,pensasteis,pensaron
pensar,to think,imperfect,pensaba,pensabas,pensaba,pensábamos,pensabais,pensaban
pensar,to think,future,pensaré,pensarás,pensará,pensaremos,pensaréis,pensarán
pensar,to think,conditional,pensaría,pensarías,pensaría,pensaríamos,pensaríais,pensarían
pensar,to think,subjunctive,piense,pienses,piense,pensemos,penséis,piensen
salir,to leave/go out,present,salgo,sales,sale,salimos,salís,salen
salir,to leave/go out,preterite,salí,saliste,salió,salimos,salisteis,salieron
salir,to leave/go out,imperfect,salía,salías,salía,salíamos,salíais,salían
salir,to leave/go out,future,saldré,saldrás,saldrá,saldremos,saldréis,saldrán
salir,to leave/go out,conditional,saldría,saldrías,saldría,saldríamos,saldríais,saldrían
salir,to leave/go out,subjunctive,salga,salgas,salga,salgamos,salgáis,salgan
volver,to return,present,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven
volver,to return,preterite,volví,volviste,volvió,volvimos,volvisteis,volvieron
volver,to return,imperfect,volvía,volvías,volvía,volvíamos,volvíais,volvían
volver,to return,future,volveré,volverás,volverá,volveremos,volveréis,volverán
volver,to return,conditional,volvería,volverías,volvería,volveríamos,volveríais,volverían
volver,to return,subjunctive,vuelva,vuelvas,vuelva,volvamos,volváis,vuelvan
tomar,to take,present,tomo,tomas,toma,tomamos,tomáis,toman
tomar,to take,preterite,tomé,tomaste,tomó,tomamos,tomasteis,tomaron
tomar,to take,imperfect,tomaba,tomabas,tomaba,tomábamos,tomabais,tomaban
tomar,to take,future,tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán
tomar,to take,conditional,tomaría,tomarías,tomaría,tomaríamos,tomaríais,tomarían
tomar,to take,subjunctive,tome,tomes,tome,tomemos,toméis,tomen
conocer,to know,present,conozco,conoces,conoce,conocemos,conocéis,conocen
conocer,to know,preterite,conocí,conociste,conoció,conocimos,conocisteis,conocieron
conocer,to know,imperfect,conocía,conocías,conocía,conocíamos,conocíais,conocían
conocer,to know,future,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán
conocer,to know,conditional,conocería,conocerías,conocería,conoceríamos,conoceríais,conocerían
conocer,to know,subjunctive,conozca,conozcas,conozca,conozcamos,conozcáis,conozcan
vivir,to live,present,vivo,vives,vive,vivimos,vivís,viven
vivir,to live,preterite,viví,viviste,vivió,vivimos,vivisteis,vivieron
vivir,to live,imperfect,vivía,vivías,vivía,vivíamos,vivíais,vivían
vivir,to live,future,viviré,vivirás,vivirá,viviremos,viviréis,vivirán
vivir,to live,conditional,viviría,vivirías,viviría,viviríamos,viviríais,vivirían
vivir,to live,subjunctive,viva,vivas,viva,vivamos,viváis,vivan
sentir,to feel,present,siento,sientes,siente,sentimos,sentís,sienten
sentir,to feel,preterite,sentí,sentiste,sintió,sentimos,sentisteis,sintieron
sentir,to feel,imperfect,sentía,sentías,sentía,sentíamos,sentíais,sentían
sentir,to feel,future,sentiré,sentirás,sentirá,sentiremos,sentiréis,sentirán
sentir,to feel,conditional,sentiría,sentirías,sentiría,sentiríamos,sentiríais,sentirían
sentir,to feel,subjunctive,sienta,sientas,sienta,sintamos,sintáis,sientan
